protocol,tx_hash,user,block_number,log_index,collateral_asset,debt_asset,health_factor,measurable,mismatch,cause
aave_v2,0x671d1111c0e16f4aabd8bebbccbd2396508f34627cef2e567f8825899053e5dd,0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,11738419,65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.1086306869911893,True,True,unexplained
aave_v2,0x488e1b3521c95a8e8ee05384af7f892731518c0bb5e452b3e671d27c2a477a67,0xe1d18ae098ffb1ad301e0609180f155b329a710a,11739645,249,0x514910771af9ca656af840dff83e8264ecf986ca,0xdac17f958d2ee523a2206206994597c13d831ec7,1.109118924000343,True,True,unexplained
aave_v2,0x54a8c6b11c88056b27ae78ee033c2aa6c27cb4e84dc8efab976ecdb5408bf14a,0xc9c80361c7a1fcb43a4ba2ad30cbe34e7fdb56b1,11752650,111,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0181829635505617,True,True,unexplained
aave_v2,0xf2f3f9c01118d12c1b7ea01ff4903c7c5ee88ec421cb4b955da11c453dde3e4d,0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,11752711,88,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0304735494119883,True,True,unexplained
aave_v2,0x774c9363f02abda3c915e6871c5b8a6bc44c98bc22434c4a32c81d8eed7ae725,0x52e72e4e210a2a5999e2fc3d14c134b8a1d55fe8,11788932,57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.0340575830285912,True,True,unexplained
aave_v2,0x4b653bf741c5ba405277d759110f1e29f71c1f3bbd256f72bc5c526d7e65a16f,0x6c07b538fc627ae1465136f14f0f2e6143eeebf5,11806537,63,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0325687306562228,True,True,unexplained
aave_v2,0x8ab4a522d6ee41b27a885e9404db916a1adf50e53964ddea941aeb6df6fd88a2,0x088a309f9004320b978c96c1387f9704d7b6250d,11809731,53,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0599861448304986,True,True,unexplained
aave_v2,0x0e9eea7da049cd3e89d32c79db331e658819642e98ca6c6949f812f6c6a7eebb,0x0569a5472eaa98a5753fe717aaf625f2bfbfba5a,11810328,203,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0999237087170066,True,True,unexplained
aave_v2,0x9027251492c638de500d64051dbfb9cbf30272638a8d59de5c70a80911b36800,0x9aa59cb0090f6604a088b79e3da8bcf1ee1d81d4,11846209,240,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1.1720341396611225,True,True,unexplained
aave_v2,0xaf21f4cfbd7aaa247da32406c1fd689dc8e1ff8bf1d14075b10b953cde6c9e07,0xceee7adc8f403661fc2d72471a6e20631a5b36bf,11858553,122,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.094865847100597,True,True,unexplained
aave_v2,0x721944a19d7dea2190b30188df885cbf339337eb84b59ee3432489125510adbe,0xf2d373481e1da4a8ca4734b28f5a642d55fda7d3,11858608,93,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0700686521389013,True,True,unexplained
aave_v2,0x070b6b63d48bb58874fd69b1c79dba9a541e88bd0272928e3d3d7a67b893ebbf,0xe6cb101eba87c46db7bb1e27ad2bd73482837a1c,11859621,37,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.030468560871075,True,True,unexplained
aave_v2,0xc211f2fa19891110b0ee86ac5596b65d14276a51a6766c1ec1beaec4080dfc09,0x37aba65fea61ca66cfb421e8a90785c78be31ed1,11906154,67,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0514244284891705,True,True,unexplained
aave_v2,0x08e7f3538b87bb39f360c0dcb963273bc5ab7546ecb04bb9d5311d5eec58e094,0x6c07b538fc627ae1465136f14f0f2e6143eeebf5,11906204,246,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.0611026127933127,True,True,unexplained
aave_v2,0x208615c805f4cc8604a7d5b00c6fea46f1eca3c99a27db51876af5a026baa52c,0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,11906748,234,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0713491082020803,True,True,unexplained
aave_v2,0x385a907c7fe4be1d85b92e7c99a84f68f4b26cf337b0cab04d85a1213f133ce8,0x3e4875cb28a5b4a14ca7de623da2bca494801bc6,11908368,88,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1484153004809698,True,True,unexplained
aave_v2,0x91824e4d1ffba9d3a7b743f324ab3db40dc7db0e5c906bda1a0834a58a1a44b5,0x2a81e3175fa5af73040a34ee51b98a4be5a1631a,11911184,180,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0659793140305935,True,True,unexplained
aave_v2,0x368f137c6e19dac7211dbbcf7f5e7860fc0344e4665dda3a8a0b0b9f42aff09b,0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,11911236,221,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0946602332297266,True,True,unexplained
aave_v2,0x79488f7c2d314ae1ef361d2a2feac76c998d139011be914c318287538008d294,0x7ab8c84ca8739f89232e2a28e1fec209b4acc23d,11911345,183,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1040753703922623,True,True,unexplained
