user,block_number,log_index,our_hf,onchain_hf,onchain_confirms_mismatch,used_eth_numeraire,our_collateral_eth,our_debt_eth,onchain_collateral_eth,onchain_debt_eth,onchain_liquidation_threshold
0xab0ac9dfe6913210b30f8b7b40c0f78c74e5d166,20450876,119,1.0034886737454167,0.9865172670579848,False,True,0.4086720499437754,0.35023610345283407,0.4086720493746319,0.35626133895284945,0.86
0x414fd030a4156ec85e003821db49491efca0a439,20465826,228,1.0077460037102939,0.9993277213095594,False,True,0.049744951739615115,0.04245182649056433,0.04974495166475305,0.04280943830480967,0.86
0xfe52cd1a9caa8ccfec23c90d8f10024c88ad340d,12483452,238,1.0017626555096832,1.0099039239324217,True,True,1.758783754544789,1.1411979016850688,1.7587837545428557,1.1319982162277,0.65
0x7ea46eca49d9f65072e713a502408595e61d0646,20456715,88,1.0021228011005725,1.0034761536895411,True,True,24.608693950493254,20.199266459806946,24.613190028531815,20.17422010880259,0.8225
0x0ae8a421e5cf4775310d6339a4be20552bff7080,13630531,90,1.0031175615156678,1.0073852416013471,True,True,7.649748372740586,6.482077840412664,7.649748372509808,6.454617209099921,0.85
0x027c0c58707cae5470b539cba6f8b9541e28ded3,22018663,93,1.1996004648286798,0.9996813078645177,False,True,0.9669799547991107,0.6803477797894883,0.966979954548019,0.8163912591122835,0.844
0x3f3f1501df473080ef8e8c28272d22daab1551a4,24362901,163,1.0024388006212868,0.9981632233547553,False,True,0.039494323396547494,0.025600034177596844,0.03948071931823677,0.02570969051595007,0.65
0xb2d785a644fce1102403dabf4492b5af37909f26,21762897,104,1.5285637140214587,1.001700744842892,True,True,951.0426583215365,535.0752988926697,951.0426578763831,816.5080139797335,0.86
0x151807fd4d2f42c7c6fca1fe275a669f501fff6a,14966481,555,1.0029380306334417,1.0109832228013185,True,True,12.019238331412843,10.186424554315098,12.019238547767937,10.105363308892908,0.85
0xbd552036e87ee5ebfd853a5632a8010b3a84f6d9,21769745,223,1.0783062375079613,0.9994199345955712,False,True,0.3157360226913443,0.25175371650910794,0.3157360225388483,0.2715958019053213,0.8597
0x5cbbad822b0925fb76fbd04bbf2fc144bf3ba125,21762785,196,1.001555873143726,0.9968242276594104,False,True,1.4963952952337363,1.2849008112364586,1.49639529456047,1.2909998750167873,0.86
0x26d28b1315dd4c6ea47c7550ecc57d6eceae69ba,20160694,198,1.0047403859668704,0.9995811922808094,False,True,1.3622356357798082,1.1659953786402928,1.3622356342028208,1.1720134937125883,0.86
0xbba14ac38d2a1c533b904e8d85665bbcc3c3f830,20459324,150,1.016083461279433,1.0113032317515358,True,True,100.58553375797024,85.13430473804856,100.58553360566714,85.53671755903828,0.86
0x16ecca3e37c193d43c84d93b9f371cbf7259bf5f,24394082,49,1.0027688508737216,1.0014627987766236,True,True,103.28949987032777,89.52566976763441,103.49193405267134,89.81346086449975,0.8691
0x828a2d3f75e7a97e75807d2ecb1b581fc1698e14,12464321,59,1.000101666541984,1.0049327868786577,True,True,503.50907577633006,415.3527600061941,503.5090756856381,413.3058866784036,0.8249
0x3700eeb393a471aaf52bde826fa5b16e888b51e8,23440063,74,1.0118912293427933,1.007806104728737,True,True,0.028454232389723434,0.02418307338334717,0.028454232384533255,0.02428109904859642,0.86
0x6951a62b960ae81f8c56c3eb613b057bb5940ba3,24362617,153,2.314256748168493,0.9982887504503689,False,True,0.010427126906183314,0.00369459614618689,0.013874256951025784,0.011396392771839372,0.82
0x5e932e419a8ed1bd8d1b09aef786d7bb2b9f9a09,15435942,48,2.1131082704595197,0.9031686146388946,False,True,1.0487376008568843,0.43674481883191213,1.048737600494685,1.0218347642696959,0.88
0x3e17373ab0bde8a406819fefc905c0df7abc7508,22215320,513,1.004039389797974,0.9947047434663595,False,True,17.530232469839447,15.015347084236822,17.530232464945374,15.156256184439206,0.86
0x3975d7f71b9e71e87cbffd308ce7c349d0369abc,20458822,120,1.0075543293487803,0.9998717728351059,False,True,0.9753975444662122,0.7986576150387481,0.975200738040642,0.8003523525492346,0.8206
0xae5bbc043b0472e49687820b2a1197ae63490150,14966669,54,1.005391545718548,0.994425515984619,False,True,9.82264652125092,7.86886235196305,9.700008983762741,7.868862093158955,0.8067
0x06cf19e0c17fc400b20f59c3c405ab0e5f73e7ff,22020167,604,1.1117041680404476,1.0035940095367404,True,True,43.01299341186549,33.27429670377781,43.01299340006972,36.85870379112278,0.86
0x17b9f4fb6860d3bd05d6393a1fb29e9782a593d9,21919327,87,1.005485821633382,1.006322310220481,True,True,17.10510037475492,14.659738561466755,17.1031286262371,14.645174600173105,0.8617
0x938882a935878228ff840f56724a2d8f6ec7b734,20459565,242,1.0047151959975358,0.9967498925958123,False,True,3.302994157647521,2.599146589078531,3.3024733406180014,2.6197802375741386,0.7907
0xa8556b50ab7781eeccf647eec1c0bf3bf9e5b3ad,24385025,21,1.0001281528753456,1.0003364898830907,True,True,0.11631663833975128,0.10165988772293694,0.11579709412360915,0.1011841925163363,0.8741
0xf3b347ecf592c4ebcb8eea6bd8c55602dc9450ce,22228004,213,1.0010116244996836,0.9970803323655143,False,True,0.1837190910720915,0.15783874478077914,0.18371909101952186,0.1584610719398575,0.86
0xa5040a5077dc55866be03a3184880ad45f279fe8,20238212,91,1.0000493773270245,0.9991390506669816,False,True,0.891238831719504,0.7664275511349405,0.8912388302912815,0.7671258505398656,0.86
0xbd552036e87ee5ebfd853a5632a8010b3a84f6d9,21104132,28,1.0426413739935463,1.000411118485114,True,True,2.8257910831405653,2.3237065116908675,2.8257910815821083,2.4215551481562105,0.8573
0x4614798ab4fd931dd522fbffd93bc8e699de5ac7,11944176,141,1.100287822936982,0.9988959912287182,False,True,20.714235051712443,14.504936518633528,20.68588098789881,15.954016086774214,0.7704
0x11cb128426008f304bffc47716e240a5c4e4c9aa,20456083,531,1.0032444239031675,1.0032220757219263,True,True,2.726280717437731,2.337019136248644,2.72628071363183,2.3370711933708,0.86
0x11658a88f95dd336faaaf303751c9af5058e6ab7,11907380,83,1.155868306164508,0.9990531779513776,False,True,238.00690127263658,169.8772191457415,238.0069010872231,196.54178349104396,0.825
0x930d81f7312199fa61df53a7b95479ff60b8c8c9,20750009,268,1.107645381921784,0.9860167542021367,False,True,0.6289053923256966,0.4882958447059422,0.6289053918860662,0.5485288507695468,0.86
0xb23a0c2b2fc1b3d0f29f1b443d8dc1513017939b,21941586,294,1.015194737412195,0.9987936980757014,False,True,0.4459922920133116,0.3778126077654355,0.44599229190393463,0.38401661101421286,0.86
0x278951f72d6435334b0fe0f86d637f716f414eb3,20459328,167,1.000090312540168,0.9911444411501692,False,True,40.155518397399916,34.5306272731013,40.15551833598715,34.8422937517305,0.86
0xefc93bd404a8242333f7c727a418bd5b45e705df,12104230,173,1.0067520515200978,1.0049264186923061,True,True,11.501831021509727,9.425370008849786,11.501831011662514,9.442492911042645,0.825
0x067e2069acf2a133c71b453da8e7a13c66eeeb2a,20204063,204,13.129361590012243,0.44191703348116046,False,True,0.07117874678384803,0.004743673407795066,0.07126566058357493,0.14110669715401783,0.875
0x930d81f7312199fa61df53a7b95479ff60b8c8c9,22252440,171,1.817738418147386,0.9763323415957399,False,True,0.03626615916557616,0.017158077626064496,0.03626615915486195,0.0319449592566046,0.86
0x7383a0c56ae3bcc968dec9c199a9ca60276b7330,20746197,139,1.4466718633953357,0.9337854074519379,False,True,0.0221472973577928,0.013165857586390946,0.02214729734225689,0.020397272823436424,0.86
0xc564077664fdc85e98a94d762d48b21931841aea,20230033,38,1.0104657367208962,1.0072630625154029,True,True,108.0077859300973,91.92463685242224,108.00778579449059,92.21691853893581,0.86
0xcfceb153f372a25434299e5e9fcb2f6317c7d332,24465927,3594,1.0038551673168419,0.9983349855538424,False,True,0.004245204496451005,0.003636855181715229,0.004245204494051264,0.003656964764045312,0.86
0x7992fa76e7964640d71a8751093d47eb7dfd537d,22211541,136,1.002541672228151,1.0024786473337866,True,True,22.905787385470415,19.649035743046507,22.905787379027696,19.650271054007618,0.86
0x26efbf94a0fa588cf40040ecdb681db81acc6960,21932843,504,1.0046204801037018,0.9986925775700324,False,True,0.2567459750369469,0.21978602159193747,0.2567459749746371,0.2210905972841321,0.86
0x809a8c04329344d630bff2097a67648b51ff0aec,24391404,85,1.002299386777177,0.9966602759738982,False,True,0.06107474199747775,0.04448227969241533,0.061074741997478726,0.04473396074163099,0.73
0x22ae723ee928a3c45a07da4effc47db013c040ab,22020083,351,1.0031643284892,0.993342591064157,False,True,0.33125043168497353,0.28397677870713334,0.33125043382221786,0.2867846155493277,0.86
0xefc93bd404a8242333f7c727a418bd5b45e705df,14848203,61,1.0638500625449476,0.9887250750754708,False,True,1.3442586599915547,1.0740421993861056,1.3442586521744646,1.1556497181595975,0.85
0x7ea14516909d18e00f651d288f113207dc8e8a1a,20459302,146,1.0071578459034567,1.0060050513018042,True,True,80.12708941120967,68.41956022476914,80.12708929009138,68.49796300754917,0.86
0x8230e4f44998a57bdec9c33367a7bd02fed18fa3,20458833,168,1.0051124007387795,1.0050903314312096,True,True,22.075437886033047,18.8883119619598,22.0754378542531,18.888726675565508,0.86
0xa485e129925c253eb108c7580b82bcc7ae7acbc2,22228034,743,1.0012148272873511,0.9926515648105532,False,True,0.4617845307489764,0.396652831760492,0.46178453061627794,0.4000746187367285,0.86
0xd3fd10c122b669cd256ab11f9148802c1c40440c,22215521,227,2.1413834357289216,0.9947701651578144,False,True,0.9296656814021902,0.3733625994607227,0.9296656811380661,0.8037157866027266,0.86
0x53e3aea8ba8f0d6cb821e650cee22c1f1e7dd12c,20459242,21,1.0615864796118608,0.997265464303741,False,True,39.19373307651883,33.054021788379885,40.0980635661468,33.19573620582923,0.8256
0x5498f662c60668f29f1f08fb3c0d175bce8c2f91,22755895,27,1.1799074778689582,1.0051449073427865,True,True,1.808258060774921,1.3330053193595366,1.8103262441396974,1.5665619510677304,0.8698
0xb23a0c2b2fc1b3d0f29f1b443d8dc1513017939b,21974759,258,1.003584523119337,0.9986495709586966,False,True,0.24463772737734207,0.2096369968825204,0.2446377273156756,0.21067294435375322,0.86
0x672b5d2474267adee7460e10a0d54a08e6bd0712,22747223,67,1.0011019662958383,0.9996913014034929,False,True,1.2096554148524397,1.0391585390869917,1.2096554145489935,1.0406248959570068,0.86
0x2b50d53c2d10954aea741ae61001c3fb77717e5e,21941574,714,1.0260266961622473,0.9984882136590024,False,True,1.770388573215805,1.4839128247446998,1.7703885727818445,1.5248394039755313,0.86
0x06cf19e0c17fc400b20f59c3c405ab0e5f73e7ff,21762843,212,1.01931064624591,0.973762736796103,False,True,139.84748771795196,117.99036915820034,139.8474876532848,123.5093876949289,0.86
0x29e18bcc4b91c3a28a78e3bcb91568395ff02ef0,20237876,29,1.0034153081368533,0.9988108027652353,False,True,14.81027852525333,12.649754619054086,14.810179406995724,12.707435398832578,0.857
0x42275eea81d6eba5ba00718e85af8080dd38069d,14764170,22,1.042468923992668,1.000834208624956,True,True,3.8594056998136725,2.767149531089861,3.6791650481242115,2.7559709818155627,0.7497
0xc6b3586a90a85d7dcc5f7e39a583eb87e26fa35e,22212289,156,1.048681967634236,0.9952227350958466,False,True,1.3022483296810217,1.1801802972553301,1.4001857536246198,1.1767369484569157,0.8364
0x664493dc3729daf641e47df63b23d356611feb81,22211222,311,1.9259293244845996,0.9927817652700488,False,True,0.6770477579323576,0.30232733071741724,0.677047757742996,0.586494526821405,0.86
0xe0b3a1e33a011caf48a424fd6595ac8770f40d65,12684925,41,1.0041988372977688,0.9905802001255904,False,True,3.359945854949495,2.760365006787379,3.359945854645852,2.798314896392424,0.825
0x1f44b1c34a7b3c4a9e41826b528970b90226acf7,11915118,185,1.175233610518417,1.0056901415808652,True,True,50.36296248221819,34.61003369586246,50.36296238618428,40.443002015658124,0.8076
0xa2c9aa6d3312d0e50e9f5181f14c3e7b29fb5dd4,14054701,286,1.0110580029564018,1.0052588426902027,True,True,65.5676687431903,48.6379133675808,66.24858254773129,49.42651066647783,0.75
0x22866c5c7f2b5475cff41465c53aa813b4c22b13,14948374,56,1.050474801139147,0.99988065542277,False,True,6.81426610284412,4.9811927795057205,6.454896561473048,4.981192665165329,0.7716
0x81a2ffca7b5e7b616c963e8112d212340815c634,24205723,383,361.19241149203737,0.9464635933287836,False,True,0.0021750849483160085,5.178882490428526e-06,0.002175084947386029,0.001976381413861931,0.86
0x9e6e443d582585f55f6fca49edc5a6a94f47e8e8,14959087,271,1.0000142487134134,1.0038323639087205,True,True,45.59298073473416,38.462278269148335,45.5929862322417,38.31540461173705,0.8436
0xd33aae1defd629dba3d3d9c225b1274788127318,21970310,502,1.0041701623516643,0.9997106840863853,False,True,1.0295368470502908,0.8643317382340296,1.04618444383669,0.8685843836689655,0.83
